"datetime","positive_set","negative_set","representation","classifier","extra","score","matrix","precision","recall","f_measure","Runtime(seconds)","Algorithm_time(seconds)","Comments"
"Tue Jul 18 16:00:19 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","neural","[]","0.630769230769","[[ 24 138]
 [ 30 263]]","0.148148148148","0.444444444444","0.222222222222","1.0853052139282227","1.073465347290039",""
"Tue Jul 18 15:29:54 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","svm","[]","0.637362637363","[[  0 165]
 [  0 290]]","0","0","0"
"Tue Jul 18 16:12:34 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","neural","[]","0.659340659341","[[  0 155]
 [  0 300]]","0","0","0","0.11871790885925293","0.10758829116821289",""
"Tue Jul 18 15:51:43 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","svm","[]","0.643956043956","[[  0 162]
 [  0 293]]","0","0","0","0.10377740859985352","0.09217071533203125",""
"Tue Jul 18 15:44:04 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","svm","[]","0.650549450549","[[  0 159]
 [  0 296]]","0","0","0","0.10326886177062988"
"Tue Jul 18 15:57:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","count","svm","[]","0.663736263736","[[  0 153]
 [  0 302]]","0","0","0","0.10367822647094727","0.09198546409606934",""
 "Wed_Jul_19_142052_2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","count","neural","[]","0.641758241758","[[ 16 149]
 [ 14 276]]","0.0969696969697","0.533333333333","0.164102564103","2.9455037117004395","2.9337575435638428",""
"Wed_Jul_19_160341_2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","count","svm","nusvc","0.610989010989","[[ 27 130]
 [ 47 251]]","0.171974522293","0.364864864865","0.233766233766","0.1008443832397461","0.08887314796447754",""
"Wed_Jul_19_142541_2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","hash","neural","[]","0.650549450549","[[  0 159]
 [  0 296]]","0","0","0","160.47285556793213","160.46046447753906","never finished running"
"Wed_Jul_19_155654_2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","hash","max_ent","[]","0.696703296703","[[  3 133]
 [  5 314]]","0.0220588235294","0.375","0.0416666666667","0.8211541175842285","0.8095667362213135",""
"Wed_Jul_19_160327_2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","hash","svm","linear","0.648351648352","[[ 21 135]
 [ 25 274]]","0.134615384615","0.45652173913","0.207920792079","0.0798788070678711","0.06787848472595215",""
"Wed_Jul_19_141757_2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","neural","[]","0.626373626374","[[  0 170]
 [  0 285]]","0","0","0","0.12919306755065918","0.11790871620178223",""
